,year,state_name,affiliation,sex,arr_all,join_key
1938,2021,Vic,All affiliations,Male,82.4,Vic|2021|All affiliations|Male
1943,2021,Vic,All affiliations,Female,92.7,Vic|2021|All affiliations|Female
1948,2021,Vic,All affiliations,Persons,87.5,Vic|2021|All affiliations|Persons
1953,2021,Qld,Government,Male,74.5,Qld|2021|Government|Male
1958,2021,Qld,Government,Female,84.5,Qld|2021|Government|Female
1963,2021,Qld,Government,Persons,79.3,Qld|2021|Government|Persons
1968,2021,Qld,Non-Government,Male,95.0,Qld|2021|Non-Government|Male
1973,2021,Qld,Non-Government,Female,95.4,Qld|2021|Non-Government|Female
1978,2021,Qld,Non-Government,Persons,95.2,Qld|2021|Non-Government|Persons
1983,2021,Qld,Catholic,Male,85.5,Qld|2021|Catholic|Male
1988,2021,Qld,Catholic,Female,91.4,Qld|2021|Catholic|Female
1993,2021,Qld,Catholic,Persons,88.4,Qld|2021|Catholic|Persons
1998,2021,Qld,Independent,Male,100.0,Qld|2021|Independent|Male
2003,2021,Qld,Independent,Female,99.8,Qld|2021|Independent|Female
2008,2021,Qld,Independent,Persons,100.0,Qld|2021|Independent|Persons
2013,2021,Qld,All affiliations,Male,82.1,Qld|2021|All affiliations|Male
2018,2021,Qld,All affiliations,Female,88.7,Qld|2021|All affiliations|Female
2023,2021,Qld,All affiliations,Persons,85.3,Qld|2021|All affiliations|Persons
2028,2021,SA,Government,Male,81.6,SA|2021|Government|Male
2033,2021,SA,Government,Female,94.2,SA|2021|Government|Female
2038,2021,SA,Government,Persons,87.6,SA|2021|Government|Persons
2043,2021,SA,Non-Government,Male,94.4,SA|2021|Non-Government|Male
2048,2021,SA,Non-Government,Female,98.5,SA|2021|Non-Government|Female
2053,2021,SA,Non-Government,Persons,96.4,SA|2021|Non-Government|Persons
2058,2021,SA,Catholic,Male,89.9,SA|2021|Catholic|Male
2063,2021,SA,Catholic,Female,92.5,SA|2021|Catholic|Female
2068,2021,SA,Catholic,Persons,91.2,SA|2021|Catholic|Persons
2073,2021,SA,Independent,Male,98.5,SA|2021|Independent|Male
2078,2021,SA,Independent,Female,100.0,SA|2021|Independent|Female
2083,2021,SA,Independent,Persons,100.0,SA|2021|Independent|Persons
2088,2021,SA,All affiliations,Male,86.6,SA|2021|All affiliations|Male
2093,2021,SA,All affiliations,Female,96.0,SA|2021|All affiliations|Female
2098,2021,SA,All affiliations,Persons,91.1,SA|2021|All affiliations|Persons
2103,2021,WA,Government,Male,78.2,WA|2021|Government|Male
2108,2021,WA,Government,Female,85.5,WA|2021|Government|Female
2113,2021,WA,Government,Persons,81.7,WA|2021|Government|Persons
2118,2021,WA,Non-Government,Male,83.9,WA|2021|Non-Government|Male
2123,2021,WA,Non-Government,Female,88.5,WA|2021|Non-Government|Female
2128,2021,WA,Non-Government,Persons,86.2,WA|2021|Non-Government|Persons
2133,2021,WA,Catholic,Male,77.6,WA|2021|Catholic|Male
2138,2021,WA,Catholic,Female,82.5,WA|2021|Catholic|Female
2143,2021,WA,Catholic,Persons,80.0,WA|2021|Catholic|Persons
2148,2021,WA,Independent,Male,89.8,WA|2021|Independent|Male
2153,2021,WA,Independent,Female,94.6,WA|2021|Independent|Female
2158,2021,WA,Independent,Persons,92.2,WA|2021|Independent|Persons
2163,2021,WA,All affiliations,Male,80.5,WA|2021|All affiliations|Male
2168,2021,WA,All affiliations,Female,86.8,WA|2021|All affiliations|Female
2173,2021,WA,All affiliations,Persons,83.6,WA|2021|All affiliations|Persons
2178,2021,Tas,Government,Male,72.4,Tas|2021|Government|Male
2183,2021,Tas,Government,Female,92.6,Tas|2021|Government|Female
2188,2021,Tas,Government,Persons,82.0,Tas|2021|Government|Persons
2193,2021,Tas,Non-Government,Male,63.0,Tas|2021|Non-Government|Male
2198,2021,Tas,Non-Government,Female,68.4,Tas|2021|Non-Government|Female
2203,2021,Tas,Non-Government,Persons,65.7,Tas|2021|Non-Government|Persons
2208,2021,Tas,Catholic,Male,53.9,Tas|2021|Catholic|Male
2213,2021,Tas,Catholic,Female,62.9,Tas|2021|Catholic|Female
2218,2021,Tas,Catholic,Persons,58.4,Tas|2021|Catholic|Persons
2223,2021,Tas,Independent,Male,76.8,Tas|2021|Independent|Male
2228,2021,Tas,Independent,Female,76.5,Tas|2021|Independent|Female
2233,2021,Tas,Independent,Persons,76.6,Tas|2021|Independent|Persons
2238,2021,Tas,All affiliations,Male,68.9,Tas|2021|All affiliations|Male
2243,2021,Tas,All affiliations,Female,82.9,Tas|2021|All affiliations|Female
2248,2021,Tas,All affiliations,Persons,75.7,Tas|2021|All affiliations|Persons
2253,2021,NT,Government,Male,60.0,NT|2021|Government|Male
2258,2021,NT,Government,Female,70.6,NT|2021|Government|Female
2263,2021,NT,Government,Persons,65.1,NT|2021|Government|Persons
2268,2021,NT,Non-Government,Male,42.3,NT|2021|Non-Government|Male
2273,2021,NT,Non-Government,Female,46.5,NT|2021|Non-Government|Female
2278,2021,NT,Non-Government,Persons,44.4,NT|2021|Non-Government|Persons
2283,2021,NT,Catholic,Male,40.3,NT|2021|Catholic|Male
2288,2021,NT,Catholic,Female,48.5,NT|2021|Catholic|Female
2293,2021,NT,Catholic,Persons,44.4,NT|2021|Catholic|Persons
2298,2021,NT,Independent,Male,43.9,NT|2021|Independent|Male
2303,2021,NT,Independent,Female,44.9,NT|2021|Independent|Female
2308,2021,NT,Independent,Persons,44.4,NT|2021|Independent|Persons
2313,2021,NT,All affiliations,Male,53.1,NT|2021|All affiliations|Male
2318,2021,NT,All affiliations,Female,60.6,NT|2021|All affiliations|Female
2323,2021,NT,All affiliations,Persons,56.8,NT|2021|All affiliations|Persons
2328,2021,ACT,Government,Male,100.0,ACT|2021|Government|Male
2333,2021,ACT,Government,Female,100.0,ACT|2021|Government|Female
2338,2021,ACT,Government,Persons,100.0,ACT|2021|Government|Persons
2343,2021,ACT,Non-Government,Male,68.6,ACT|2021|Non-Government|Male
2348,2021,ACT,Non-Government,Female,74.8,ACT|2021|Non-Government|Female
2353,2021,ACT,Non-Government,Persons,71.6,ACT|2021|Non-Government|Persons
2358,2021,ACT,Catholic,Male,66.0,ACT|2021|Catholic|Male
2363,2021,ACT,Catholic,Female,67.6,ACT|2021|Catholic|Female
2368,2021,ACT,Catholic,Persons,66.8,ACT|2021|Catholic|Persons
2373,2021,ACT,Independent,Male,73.4375,ACT|2021|Independent|Male
2378,2021,ACT,Independent,Female,86.4,ACT|2021|Independent|Female
2383,2021,ACT,Independent,Persons,80.0,ACT|2021|Independent|Persons
2388,2021,ACT,All affiliations,Male,86.0,ACT|2021|All affiliations|Male
2393,2021,ACT,All affiliations,Female,96.1,ACT|2021|All affiliations|Female
2398,2021,ACT,All affiliations,Persons,90.9,ACT|2021|All affiliations|Persons
2403,2020,NSW,Government,Male,71.1,NSW|2020|Government|Male
2408,2020,NSW,Government,Female,80.4,NSW|2020|Government|Female
2413,2020,NSW,Government,Persons,75.7,NSW|2020|Government|Persons
2418,2020,NSW,Non-Government,Male,77.9,NSW|2020|Non-Government|Male
2423,2020,NSW,Non-Government,Female,86.3,NSW|2020|Non-Government|Female
2428,2020,NSW,Non-Government,Persons,82.1,NSW|2020|Non-Government|Persons
2433,2020,NSW,Catholic,Male,73.7,NSW|2020|Catholic|Male
2438,2020,NSW,Catholic,Female,83.4,NSW|2020|Catholic|Female
2443,2020,NSW,Catholic,Persons,78.5,NSW|2020|Catholic|Persons
2448,2020,NSW,Independent,Male,84.3,NSW|2020|Independent|Male
2453,2020,NSW,Independent,Female,90.8,NSW|2020|Independent|Female
2458,2020,NSW,Independent,Persons,87.5,NSW|2020|Independent|Persons
2463,2020,NSW,All affiliations,Male,74.0,NSW|2020|All affiliations|Male
2468,2020,NSW,All affiliations,Female,83.0,NSW|2020|All affiliations|Female
2473,2020,NSW,All affiliations,Persons,78.4,NSW|2020|All affiliations|Persons
2478,2020,Vic,Government,Male,79.3,Vic|2020|Government|Male
2483,2020,Vic,Government,Female,91.4,Vic|2020|Government|Female
2488,2020,Vic,Government,Persons,85.1,Vic|2020|Government|Persons
2493,2020,Vic,Non-Government,Male,87.0,Vic|2020|Non-Government|Male
2498,2020,Vic,Non-Government,Female,94.4,Vic|2020|Non-Government|Female
2503,2020,Vic,Non-Government,Persons,90.7,Vic|2020|Non-Government|Persons
2508,2020,Vic,Catholic,Male,78.6,Vic|2020|Catholic|Male
2513,2020,Vic,Catholic,Female,86.7,Vic|2020|Catholic|Female
2518,2020,Vic,Catholic,Persons,82.7,Vic|2020|Catholic|Persons
2523,2020,Vic,Independent,Male,97.6,Vic|2020|Independent|Male
2528,2020,Vic,Independent,Female,100.0,Vic|2020|Independent|Female
2533,2020,Vic,Independent,Persons,100.0,Vic|2020|Independent|Persons
2538,2020,Vic,All affiliations,Male,82.6,Vic|2020|All affiliations|Male
2543,2020,Vic,All affiliations,Female,92.8,Vic|2020|All affiliations|Female
2548,2020,Vic,All affiliations,Persons,87.6,Vic|2020|All affiliations|Persons
2553,2020,Qld,Government,Male,75.4,Qld|2020|Government|Male
2558,2020,Qld,Government,Female,85.7,Qld|2020|Government|Female
2563,2020,Qld,Government,Persons,80.4,Qld|2020|Government|Persons
2568,2020,Qld,Non-Government,Male,92.4,Qld|2020|Non-Government|Male
2573,2020,Qld,Non-Government,Female,93.9,Qld|2020|Non-Government|Female
2578,2020,Qld,Non-Government,Persons,93.1,Qld|2020|Non-Government|Persons
2583,2020,Qld,Catholic,Male,87.3,Qld|2020|Catholic|Male
2588,2020,Qld,Catholic,Female,90.1,Qld|2020|Catholic|Female
2593,2020,Qld,Catholic,Persons,88.7,Qld|2020|Catholic|Persons
2598,2020,Qld,Independent,Male,98.3,Qld|2020|Independent|Male
2603,2020,Qld,Independent,Female,98.1,Qld|2020|Independent|Female
2608,2020,Qld,Independent,Persons,98.2,Qld|2020|Independent|Persons
2613,2020,Qld,All affiliations,Male,81.9,Qld|2020|All affiliations|Male
2618,2020,Qld,All affiliations,Female,88.9,Qld|2020|All affiliations|Female
2623,2020,Qld,All affiliations,Persons,85.3,Qld|2020|All affiliations|Persons
2628,2020,SA,Government,Male,84.7,SA|2020|Government|Male
2633,2020,SA,Government,Female,97.5,SA|2020|Government|Female
2638,2020,SA,Government,Persons,90.8,SA|2020|Government|Persons
2643,2020,SA,Non-Government,Male,91.7,SA|2020|Non-Government|Male
2648,2020,SA,Non-Government,Female,98.9,SA|2020|Non-Government|Female
2653,2020,SA,Non-Government,Persons,95.3,SA|2020|Non-Government|Persons
2658,2020,SA,Catholic,Male,86.7,SA|2020|Catholic|Male
2663,2020,SA,Catholic,Female,90.6,SA|2020|Catholic|Female
2668,2020,SA,Catholic,Persons,88.7,SA|2020|Catholic|Persons
2673,2020,SA,Independent,Male,96.3,SA|2020|Independent|Male
2678,2020,SA,Independent,Female,100.0,SA|2020|Independent|Female
2683,2020,SA,Independent,Persons,100.0,SA|2020|Independent|Persons
2688,2020,SA,All affiliations,Male,87.5,SA|2020|All affiliations|Male
2693,2020,SA,All affiliations,Female,98.1,SA|2020|All affiliations|Female
2698,2020,SA,All affiliations,Persons,92.7,SA|2020|All affiliations|Persons
2703,2020,WA,Government,Male,79.3,WA|2020|Government|Male
2708,2020,WA,Government,Female,86.5,WA|2020|Government|Female
2713,2020,WA,Government,Persons,82.8,WA|2020|Government|Persons
2718,2020,WA,Non-Government,Male,81.9,WA|2020|Non-Government|Male
2723,2020,WA,Non-Government,Female,89.0,WA|2020|Non-Government|Female
2728,2020,WA,Non-Government,Persons,85.4,WA|2020|Non-Government|Persons
2733,2020,WA,Catholic,Male,78.4,WA|2020|Catholic|Male
2738,2020,WA,Catholic,Female,84.9,WA|2020|Catholic|Female
2743,2020,WA,Catholic,Persons,81.7,WA|2020|Catholic|Persons
2748,2020,WA,Independent,Male,85.2,WA|2020|Independent|Male
2753,2020,WA,Independent,Female,93.0,WA|2020|Independent|Female
2758,2020,WA,Independent,Persons,89.1,WA|2020|Independent|Persons
2763,2020,WA,All affiliations,Male,80.4,WA|2020|All affiliations|Male
2768,2020,WA,All affiliations,Female,87.6,WA|2020|All affiliations|Female
2773,2020,WA,All affiliations,Persons,83.9,WA|2020|All affiliations|Persons
2778,2020,Tas,Government,Male,76.3,Tas|2020|Government|Male
2783,2020,Tas,Government,Female,89.0,Tas|2020|Government|Female
2788,2020,Tas,Government,Persons,82.5,Tas|2020|Government|Persons
2793,2020,Tas,Non-Government,Male,57.3,Tas|2020|Non-Government|Male
2798,2020,Tas,Non-Government,Female,66.3,Tas|2020|Non-Government|Female
2803,2020,Tas,Non-Government,Persons,61.8,Tas|2020|Non-Government|Persons
2808,2020,Tas,Catholic,Male,48.5,Tas|2020|Catholic|Male
2813,2020,Tas,Catholic,Female,56.3,Tas|2020|Catholic|Female
2818,2020,Tas,Catholic,Persons,52.5,Tas|2020|Catholic|Persons
2823,2020,Tas,Independent,Male,70.5,Tas|2020|Independent|Male
2828,2020,Tas,Independent,Female,83.4,Tas|2020|Independent|Female
2833,2020,Tas,Independent,Persons,76.7,Tas|2020|Independent|Persons
2838,2020,Tas,All affiliations,Male,69.5,Tas|2020|All affiliations|Male
2843,2020,Tas,All affiliations,Female,80.5,Tas|2020|All affiliations|Female
2848,2020,Tas,All affiliations,Persons,74.9,Tas|2020|All affiliations|Persons
2853,2020,NT,Government,Male,58.6,NT|2020|Government|Male
2858,2020,NT,Government,Female,73.0,NT|2020|Government|Female
2863,2020,NT,Government,Persons,65.4,NT|2020|Government|Persons
2868,2020,NT,Non-Government,Male,46.3,NT|2020|Non-Government|Male
2873,2020,NT,Non-Government,Female,45.2,NT|2020|Non-Government|Female
2878,2020,NT,Non-Government,Persons,45.7,NT|2020|Non-Government|Persons
2883,2020,NT,Catholic,Male,50.0,NT|2020|Catholic|Male
2888,2020,NT,Catholic,Female,42.8,NT|2020|Catholic|Female
2893,2020,NT,Catholic,Persons,46.3,NT|2020|Catholic|Persons
2898,2020,NT,Independent,Male,43.6,NT|2020|Independent|Male
2903,2020,NT,Independent,Female,47.0,NT|2020|Independent|Female
2908,2020,NT,Independent,Persons,45.4,NT|2020|Independent|Persons
2913,2020,NT,All affiliations,Male,54.1,NT|2020|All affiliations|Male
2918,2020,NT,All affiliations,Female,61.6,NT|2020|All affiliations|Female
2923,2020,NT,All affiliations,Persons,57.8,NT|2020|All affiliations|Persons
2928,2020,ACT,Government,Male,100.0,ACT|2020|Government|Male
2933,2020,ACT,Government,Female,100.0,ACT|2020|Government|Female
2938,2020,ACT,Government,Persons,100.0,ACT|2020|Government|Persons
2943,2020,ACT,Non-Government,Male,70.2,ACT|2020|Non-Government|Male
2948,2020,ACT,Non-Government,Female,71.5,ACT|2020|Non-Government|Female
2953,2020,ACT,Non-Government,Persons,70.8,ACT|2020|Non-Government|Persons
2958,2020,ACT,Catholic,Male,68.1,ACT|2020|Catholic|Male
2963,2020,ACT,Catholic,Female,62.0,ACT|2020|Catholic|Female
2968,2020,ACT,Catholic,Persons,65.2,ACT|2020|Catholic|Persons
2973,2020,ACT,Independent,Male,74.5,ACT|2020|Independent|Male
2978,2020,ACT,Independent,Female,88.3,ACT|2020|Independent|Female
2983,2020,ACT,Independent,Persons,81.5,ACT|2020|Independent|Persons
2988,2020,ACT,All affiliations,Male,89.3,ACT|2020|All affiliations|Male
2993,2020,ACT,All affiliations,Female,94.7,ACT|2020|All affiliations|Female
2998,2020,ACT,All affiliations,Persons,91.9,ACT|2020|All affiliations|Persons
3003,2019,NSW,Government,Male,67.7,NSW|2019|Government|Male
3008,2019,NSW,Government,Female,79.4,NSW|2019|Government|Female
3013,2019,NSW,Government,Persons,73.5,NSW|2019|Government|Persons
3018,2019,NSW,Non-Government,Male,77.9,NSW|2019|Non-Government|Male
3023,2019,NSW,Non-Government,Female,86.0,NSW|2019|Non-Government|Female
3028,2019,NSW,Non-Government,Persons,81.9,NSW|2019|Non-Government|Persons
3033,2019,NSW,Catholic,Male,73.5,NSW|2019|Catholic|Male
3038,2019,NSW,Catholic,Female,83.0,NSW|2019|Catholic|Female
3043,2019,NSW,Catholic,Persons,78.2,NSW|2019|Catholic|Persons
3048,2019,NSW,Independent,Male,84.9,NSW|2019|Independent|Male
3053,2019,NSW,Independent,Female,91.0,NSW|2019|Independent|Female
3058,2019,NSW,Independent,Persons,87.9,NSW|2019|Independent|Persons
3063,2019,NSW,All affiliations,Male,72.1,NSW|2019|All affiliations|Male
3068,2019,NSW,All affiliations,Female,82.2,NSW|2019|All affiliations|Female
3073,2019,NSW,All affiliations,Persons,77.1,NSW|2019|All affiliations|Persons
3078,2019,Vic,Government,Male,79.7,Vic|2019|Government|Male
3083,2019,Vic,Government,Female,92.4,Vic|2019|Government|Female
3088,2019,Vic,Government,Persons,85.8,Vic|2019|Government|Persons
3093,2019,Vic,Non-Government,Male,85.6,Vic|2019|Non-Government|Male
3098,2019,Vic,Non-Government,Female,93.2,Vic|2019|Non-Government|Female
3103,2019,Vic,Non-Government,Persons,89.4,Vic|2019|Non-Government|Persons
3108,2019,Vic,Catholic,Male,77.5,Vic|2019|Catholic|Male
3113,2019,Vic,Catholic,Female,86.6,Vic|2019|Catholic|Female
3118,2019,Vic,Catholic,Persons,82.1,Vic|2019|Catholic|Persons
3123,2019,Vic,Independent,Male,96.3,Vic|2019|Independent|Male
3128,2019,Vic,Independent,Female,100.0,Vic|2019|Independent|Female
3133,2019,Vic,Independent,Persons,99.0,Vic|2019|Independent|Persons
3138,2019,Vic,All affiliations,Male,82.3,Vic|2019|All affiliations|Male
3143,2019,Vic,All affiliations,Female,92.7,Vic|2019|All affiliations|Female
3148,2019,Vic,All affiliations,Persons,87.4,Vic|2019|All affiliations|Persons
3153,2019,Qld,Government,Male,83.5,Qld|2019|Government|Male
3158,2019,Qld,Government,Female,93.0,Qld|2019|Government|Female
3163,2019,Qld,Government,Persons,87.9,Qld|2019|Government|Persons
3168,2019,Qld,Non-Government,Male,95.8,Qld|2019|Non-Government|Male
3173,2019,Qld,Non-Government,Female,96.6,Qld|2019|Non-Government|Female
3178,2019,Qld,Non-Government,Persons,96.2,Qld|2019|Non-Government|Persons
3183,2019,Qld,Catholic,Male,89.8,Qld|2019|Catholic|Male
3188,2019,Qld,Catholic,Female,91.7,Qld|2019|Catholic|Female
3193,2019,Qld,Catholic,Persons,90.7,Qld|2019|Catholic|Persons
3198,2019,Qld,Independent,Male,100.0,Qld|2019|Independent|Male
3203,2019,Qld,Independent,Female,100.0,Qld|2019|Independent|Female
3208,2019,Qld,Independent,Persons,100.0,Qld|2019|Independent|Persons
3213,2019,Qld,All affiliations,Male,88.5,Qld|2019|All affiliations|Male
3218,2019,Qld,All affiliations,Female,94.5,Qld|2019|All affiliations|Female
3223,2019,Qld,All affiliations,Persons,91.3,Qld|2019|All affiliations|Persons
3228,2019,SA,Government,Male,84.0,SA|2019|Government|Male
3233,2019,SA,Government,Female,99.7,SA|2019|Government|Female
3238,2019,SA,Government,Persons,91.7,SA|2019|Government|Persons
3243,2019,SA,Non-Government,Male,93.6,SA|2019|Non-Government|Male
3248,2019,SA,Non-Government,Female,98.1,SA|2019|Non-Government|Female
3253,2019,SA,Non-Government,Persons,95.9,SA|2019|Non-Government|Persons
3258,2019,SA,Catholic,Male,91.1,SA|2019|Catholic|Male
3263,2019,SA,Catholic,Female,91.1,SA|2019|Catholic|Female
3268,2019,SA,Catholic,Persons,91.1,SA|2019|Catholic|Persons
3273,2019,SA,Independent,Male,95.9,SA|2019|Independent|Male
3278,2019,SA,Independent,Female,100.0,SA|2019|Independent|Female
3283,2019,SA,Independent,Persons,100.0,SA|2019|Independent|Persons
3288,2019,SA,All affiliations,Male,87.9,SA|2019|All affiliations|Male
3293,2019,SA,All affiliations,Female,99.0,SA|2019|All affiliations|Female
3298,2019,SA,All affiliations,Persons,93.4,SA|2019|All affiliations|Persons
3303,2019,WA,Government,Male,79.8,WA|2019|Government|Male
3308,2019,WA,Government,Female,87.2,WA|2019|Government|Female
3313,2019,WA,Government,Persons,83.4,WA|2019|Government|Persons
3318,2019,WA,Non-Government,Male,81.1,WA|2019|Non-Government|Male
3323,2019,WA,Non-Government,Female,86.3,WA|2019|Non-Government|Female
3328,2019,WA,Non-Government,Persons,83.7,WA|2019|Non-Government|Persons
3333,2019,WA,Catholic,Male,78.5,WA|2019|Catholic|Male
3338,2019,WA,Catholic,Female,82.8,WA|2019|Catholic|Female
3343,2019,WA,Catholic,Persons,80.6,WA|2019|Catholic|Persons
3348,2019,WA,Independent,Male,83.6,WA|2019|Independent|Male
3353,2019,WA,Independent,Female,89.9,WA|2019|Independent|Female
3358,2019,WA,Independent,Persons,86.7,WA|2019|Independent|Persons
3363,2019,WA,All affiliations,Male,80.4,WA|2019|All affiliations|Male
3368,2019,WA,All affiliations,Female,86.8,WA|2019|All affiliations|Female
3373,2019,WA,All affiliations,Persons,83.5,WA|2019|All affiliations|Persons
3378,2019,Tas,Government,Male,75.8,Tas|2019|Government|Male
3383,2019,Tas,Government,Female,88.9,Tas|2019|Government|Female
3388,2019,Tas,Government,Persons,82.1,Tas|2019|Government|Persons
3393,2019,Tas,Non-Government,Male,62.2,Tas|2019|Non-Government|Male
3398,2019,Tas,Non-Government,Female,66.1,Tas|2019|Non-Government|Female
3403,2019,Tas,Non-Government,Persons,64.2,Tas|2019|Non-Government|Persons
3408,2019,Tas,Catholic,Male,51.7,Tas|2019|Catholic|Male
3413,2019,Tas,Catholic,Female,62.3,Tas|2019|Catholic|Female
3418,2019,Tas,Catholic,Persons,57.2,Tas|2019|Catholic|Persons
3423,2019,Tas,Independent,Male,77.8,Tas|2019|Independent|Male
3428,2019,Tas,Independent,Female,72.1,Tas|2019|Independent|Female
3433,2019,Tas,Independent,Persons,74.9,Tas|2019|Independent|Persons
3438,2019,Tas,All affiliations,Male,70.9,Tas|2019|All affiliations|Male
3443,2019,Tas,All affiliations,Female,80.2,Tas|2019|All affiliations|Female
3448,2019,Tas,All affiliations,Persons,75.5,Tas|2019|All affiliations|Persons
3453,2019,NT,Government,Male,49.5,NT|2019|Government|Male
3458,2019,NT,Government,Female,65.7,NT|2019|Government|Female
3463,2019,NT,Government,Persons,57.1,NT|2019|Government|Persons
3468,2019,NT,Non-Government,Male,53.5,NT|2019|Non-Government|Male
3473,2019,NT,Non-Government,Female,46.3,NT|2019|Non-Government|Female
3478,2019,NT,Non-Government,Persons,49.8,NT|2019|Non-Government|Persons
3483,2019,NT,Catholic,Male,57.8,NT|2019|Catholic|Male
3488,2019,NT,Catholic,Female,38.6,NT|2019|Catholic|Female
3493,2019,NT,Catholic,Persons,48.2,NT|2019|Catholic|Persons
3498,2019,NT,Independent,Male,50.3,NT|2019|Independent|Male
3503,2019,NT,Independent,Female,51.9,NT|2019|Independent|Female
3508,2019,NT,Independent,Persons,51.1,NT|2019|Independent|Persons
3513,2019,NT,All affiliations,Male,51.0,NT|2019|All affiliations|Male
3518,2019,NT,All affiliations,Female,57.8,NT|2019|All affiliations|Female
3523,2019,NT,All affiliations,Persons,54.3,NT|2019|All affiliations|Persons
3528,2019,ACT,Government,Male,100.0,ACT|2019|Government|Male
3533,2019,ACT,Government,Female,100.0,ACT|2019|Government|Female
3538,2019,ACT,Government,Persons,100.0,ACT|2019|Government|Persons
3543,2019,ACT,Non-Government,Male,70.6,ACT|2019|Non-Government|Male
3548,2019,ACT,Non-Government,Female,73.1,ACT|2019|Non-Government|Female
3553,2019,ACT,Non-Government,Persons,71.8,ACT|2019|Non-Government|Persons
3558,2019,ACT,Catholic,Male,67.8,ACT|2019|Catholic|Male
3563,2019,ACT,Catholic,Female,68.2,ACT|2019|Catholic|Female
3568,2019,ACT,Catholic,Persons,68.0,ACT|2019|Catholic|Persons
3573,2019,ACT,Independent,Male,75.5,ACT|2019|Independent|Male
3578,2019,ACT,Independent,Female,81.4,ACT|2019|Independent|Female
3583,2019,ACT,Independent,Persons,78.5,ACT|2019|Independent|Persons
3588,2019,ACT,All affiliations,Male,89.8,ACT|2019|All affiliations|Male
3593,2019,ACT,All affiliations,Female,98.4,ACT|2019|All affiliations|Female
3598,2019,ACT,All affiliations,Persons,94.0,ACT|2019|All affiliations|Persons
3603,2018,NSW,Government,Male,69.0,NSW|2018|Government|Male
3608,2018,NSW,Government,Female,80.1,NSW|2018|Government|Female
3613,2018,NSW,Government,Persons,74.4,NSW|2018|Government|Persons
3618,2018,NSW,Non-Government,Male,79.2,NSW|2018|Non-Government|Male
3623,2018,NSW,Non-Government,Female,85.8,NSW|2018|Non-Government|Female
3628,2018,NSW,Non-Government,Persons,82.4,NSW|2018|Non-Government|Persons
3633,2018,NSW,Catholic,Male,74.8,NSW|2018|Catholic|Male
3638,2018,NSW,Catholic,Female,83.7,NSW|2018|Catholic|Female
3643,2018,NSW,Catholic,Persons,79.1,NSW|2018|Catholic|Persons
3648,2018,NSW,Independent,Male,86.1,NSW|2018|Independent|Male
3653,2018,NSW,Independent,Female,89.2,NSW|2018|Independent|Female
3658,2018,NSW,Independent,Persons,87.6,NSW|2018|Independent|Persons
3663,2018,NSW,All affiliations,Male,73.3,NSW|2018|All affiliations|Male
3668,2018,NSW,All affiliations,Female,82.5,NSW|2018|All affiliations|Female
3673,2018,NSW,All affiliations,Persons,77.8,NSW|2018|All affiliations|Persons
3678,2018,Vic,Government,Male,82.3,Vic|2018|Government|Male
3683,2018,Vic,Government,Female,94.2,Vic|2018|Government|Female
3688,2018,Vic,Government,Persons,87.9,Vic|2018|Government|Persons
3693,2018,Vic,Non-Government,Male,86.2,Vic|2018|Non-Government|Male
3698,2018,Vic,Non-Government,Female,92.7,Vic|2018|Non-Government|Female
3703,2018,Vic,Non-Government,Persons,89.5,Vic|2018|Non-Government|Persons
3708,2018,Vic,Catholic,Male,78.7,Vic|2018|Catholic|Male
3713,2018,Vic,Catholic,Female,86.0,Vic|2018|Catholic|Female
3718,2018,Vic,Catholic,Persons,82.4,Vic|2018|Catholic|Persons
3723,2018,Vic,Independent,Male,96.1,Vic|2018|Independent|Male
3728,2018,Vic,Independent,Female,100.0,Vic|2018|Independent|Female
3733,2018,Vic,Independent,Persons,99.0,Vic|2018|Independent|Persons
3738,2018,Vic,All affiliations,Male,84.0,Vic|2018|All affiliations|Male
3743,2018,Vic,All affiliations,Female,93.5,Vic|2018|All affiliations|Female
3748,2018,Vic,All affiliations,Persons,88.7,Vic|2018|All affiliations|Persons
3753,2018,Qld,Government,Male,82.9,Qld|2018|Government|Male
3758,2018,Qld,Government,Female,90.2,Qld|2018|Government|Female
3763,2018,Qld,Government,Persons,86.4,Qld|2018|Government|Persons
3768,2018,Qld,Non-Government,Male,92.6,Qld|2018|Non-Government|Male
3773,2018,Qld,Non-Government,Female,94.4,Qld|2018|Non-Government|Female
3778,2018,Qld,Non-Government,Persons,93.5,Qld|2018|Non-Government|Persons
3783,2018,Qld,Catholic,Male,89.3,Qld|2018|Catholic|Male
3788,2018,Qld,Catholic,Female,91.6,Qld|2018|Catholic|Female
3793,2018,Qld,Catholic,Persons,90.4,Qld|2018|Catholic|Persons
3798,2018,Qld,Independent,Male,96.4,Qld|2018|Independent|Male
3803,2018,Qld,Independent,Female,97.4,Qld|2018|Independent|Female
3808,2018,Qld,Independent,Persons,96.9,Qld|2018|Independent|Persons
3813,2018,Qld,All affiliations,Male,86.6,Qld|2018|All affiliations|Male
3818,2018,Qld,All affiliations,Female,91.9,Qld|2018|All affiliations|Female
3823,2018,Qld,All affiliations,Persons,89.2,Qld|2018|All affiliations|Persons
3828,2018,SA,Government,Male,87.8,SA|2018|Government|Male
3833,2018,SA,Government,Female,100.0,SA|2018|Government|Female
3838,2018,SA,Government,Persons,94.8,SA|2018|Government|Persons
3843,2018,SA,Non-Government,Male,90.7,SA|2018|Non-Government|Male
